State,PC No,PC Name,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Year 
Andhra Pradesh,1,Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,2024
Andhra Pradesh,1,Araku (ST),2,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,2024
Andhra Pradesh,1,Araku (ST),3,APPALANARASA PACHIPENTA,Communist Party of India  (Marxist),119016,4113,123129,2024
Andhra Pradesh,1,Araku (ST),4,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2024
Andhra Pradesh,1,Araku (ST),5,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,2024
Andhra Pradesh,1,Araku (ST),6,NIMMAKA JAYARAJU,Independent,8798,664,9462,2024
Andhra Pradesh,1,Araku (ST),7,ATHIDHI,Independent,8121,15,8136,2024
Andhra Pradesh,1,Araku (ST),8,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,2024
Andhra Pradesh,1,Araku (ST),9,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,2024
Andhra Pradesh,1,Araku (ST),10,RANJITH KUMAR PALAKA,Independent,6000,47,6047,2024
Andhra Pradesh,1,Araku (ST),11,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,2024
Andhra Pradesh,1,Araku (ST),12,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,2024
Andhra Pradesh,1,Araku (ST),13,VUYAKA NIREEKSHAN  (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,2024
Andhra Pradesh,1,Araku (ST),14,NOTA,None of the Above,50205,265,50470,2024
Andhra Pradesh,2,Srikakulam,1,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,2024
Andhra Pradesh,2,Srikakulam,2,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,2024
Andhra Pradesh,2,Srikakulam,3,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,2024
Andhra Pradesh,2,Srikakulam,4,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,2024
Andhra Pradesh,2,Srikakulam,5,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,2024
Andhra Pradesh,2,Srikakulam,6,VABA YOGESWARA RAO,Independent,3472,126,3598,2024
Andhra Pradesh,2,Srikakulam,7,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,2024
Andhra Pradesh,2,Srikakulam,8,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,2024
Andhra Pradesh,2,Srikakulam,9,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,2024
Andhra Pradesh,2,Srikakulam,10,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,2024
Andhra Pradesh,2,Srikakulam,11,KAYA DURGARAO,Navarang Congress Party,811,7,818,2024
Andhra Pradesh,2,Srikakulam,12,CHELLURI DANIYAL,Independent,796,20,816,2024
Andhra Pradesh,2,Srikakulam,13,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,2024
Andhra Pradesh,2,Srikakulam,14,NOTA,None of the Above,24498,107,24605,2024
Andhra Pradesh,3,Vizianagaram,1,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,2024
Andhra Pradesh,3,Vizianagaram,2,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,2024
Andhra Pradesh,3,Vizianagaram,3,BOBBILI SRINU,Indian National Congress,10270,353,10623,2024
Andhra Pradesh,3,Vizianagaram,4,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,2024
Andhra Pradesh,3,Vizianagaram,5,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,2024
Andhra Pradesh,3,Vizianagaram,6,ALLU SRIRAMULU,Independent,3396,5,3401,2024
Andhra Pradesh,3,Vizianagaram,7,SIYYADULA YELLA RAO,Independent,3105,2,3107,2024
Andhra Pradesh,3,Vizianagaram,8,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,2024
Andhra Pradesh,3,Vizianagaram,9,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,2024
Andhra Pradesh,3,Vizianagaram,10,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,2024
Andhra Pradesh,3,Vizianagaram,11,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,2024
Andhra Pradesh,3,Vizianagaram,12,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,2024
Andhra Pradesh,3,Vizianagaram,13,ADINARAYANA TADDI,Independent,855,1,856,2024
Andhra Pradesh,3,Vizianagaram,14,P V A ANANDA SAGAR,Independent,787,4,791,2024
Andhra Pradesh,3,Vizianagaram,15,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,2024
Andhra Pradesh,3,Vizianagaram,16,NOTA,None of the Above,23097,153,23250,2024
Andhra Pradesh,4,Visakhapatnam,1,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,2024
Andhra Pradesh,4,Visakhapatnam,2,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,2024
